STATE,ST_CASE,VE_TOTAL,VE_FORMS,PEDS,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,NHS,ROAD_FNC,ROUTE,TWAY_ID,TWAY_ID2,MILEPT,LATITUDE,LONGITUD,SP_JUR,HARM_EV,MAN_COLL,RELJCT1,RELJCT2,TYP_INT,REL_ROAD,WRK_ZONE,LGT_COND,WEATHER1,WEATHER2,WEATHER,SCH_BUS,RAIL,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,CF1,CF2,CF3,FATALS,DRUNK_DR
13,130083,2,2,0,2,1,0,8,2,2010,2,17,40,0,5,4,PAT LEWIS ROAD,J R HARPER ROAD,21,31.65957222,-82.414583330,0,12,6,0,2,2,1,0,1,1,0,1,0,0000000,17,43,17,51,18,23,0,0,0,1,0
13,130084,1,1,0,1,67,0,8,2,2010,2,1,43,0,16,4,HICKORTY GROVE ROAD,,14,34.06279167,-84.641588890,0,42,0,0,1,1,6,0,3,1,0,1,0,0000000,1,43,1,55,88,88,0,0,0,1,1
13,130085,2,2,0,6,11,0,9,2,2010,3,16,48,0,4,3,SR-51,,141,34.34541944,-83.473972220,0,12,2,0,1,1,1,0,1,10,0,10,0,0000000,16,48,16,55,17,30,0,0,0,1,0
13,130086,1,1,0,1,65,0,9,2,2010,3,14,43,0,6,4,HUBBARDSVILLE ROAD,,18,99.99990000,999.999900000,0,42,0,0,1,1,6,0,1,2,0,2,0,0000000,14,43,15,14,88,88,0,0,0,1,0
13,130087,1,1,0,2,143,0,9,2,2010,3,20,4,0,5,4,JACKSVONVILLE ROAD,,61,33.80582500,-85.208908330,0,35,0,0,1,1,6,0,2,1,0,1,0,0000000,20,4,20,13,20,50,0,0,0,1,0
13,130088,1,1,1,1,169,0,9,2,2010,3,6,46,0,16,4,CHAPMAN ROAD,GRAYSTONE CIRCLE,32,32.90095556,-83.540769440,0,8,0,0,3,3,1,0,2,10,0,10,1,0000000,88,88,88,88,88,88,0,0,0,1,0
13,130089,2,2,0,4,13,0,11,2,2010,5,15,16,0,16,4,CORINTH CHURCH ROAD,RUSSELL CEMETARY,7,33.96738889,-83.706763890,0,12,2,0,3,3,1,0,1,1,0,1,0,0000000,15,16,15,23,15,52,0,0,0,1,0
13,130090,2,2,0,3,15,0,11,2,2010,5,21,41,1,2,3,SR-20,DEMPSEY ROAD,18,34.20356944,-85.013688890,0,12,6,0,2,3,1,0,2,10,0,10,0,0000000,88,88,88,88,88,88,0,0,0,2,0
13,130091,1,1,0,1,139,0,11,2,2010,5,20,49,0,14,3,SR-347,,3,34.16563611,-84.001613890,0,38,0,0,1,1,6,0,2,10,0,10,0,0000000,20,49,20,55,21,28,0,0,0,1,0
13,130092,1,1,0,1,21,3390,13,2,2010,7,6,6,1,11,1,I-75/SR-401,,93,32.80651944,-83.657755560,0,25,0,0,1,1,3,0,3,4,0,4,0,0000000,6,7,6,15,6,46,0,0,0,1,0
13,130093,1,1,0,1,51,4910,14,2,2010,1,2,30,0,13,3,SR-204,,220,32.03787500,-81.105000000,0,42,0,0,1,1,3,0,3,1,0,1,0,0000000,2,30,2,32,2,57,0,0,0,1,1
13,130094,2,2,0,4,89,0,14,2,2010,1,0,6,0,14,3,SR-12,YOUNG ROAD,55,33.72749722,-84.186430560,0,12,6,0,2,3,1,0,2,10,0,10,0,0000000,0,7,0,15,0,32,0,0,0,2,1
