ST_CASE,VEH_NO,MDRDSTRD,YEAR,FATALS,PER_TYP,INJ_SEV
10100,2,0,2010,1,1.0,4.0
10101,1,0,2010,1,1.0,4.0
10102,1,3,2010,1,1.0,0.0
10102,1,3,2010,1,2.0,0.0
10102,1,3,2010,1,2.0,0.0
10102,2,0,2010,1,1.0,0.0
10102,2,0,2010,1,2.0,0.0
10102,3,0,2010,1,1.0,4.0
10102,3,0,2010,1,2.0,0.0
10103,1,0,2010,1,1.0,4.0
10104,1,0,2010,1,1.0,4.0
10104,2,0,2010,1,1.0,1.0
10105,1,0,2010,1,1.0,4.0
10105,2,0,2010,1,1.0,3.0
10105,3,0,2010,1,1.0,3.0
10106,1,0,2010,1,1.0,3.0
10106,1,0,2010,1,2.0,3.0
10106,2,0,2010,1,1.0,4.0
10107,1,0,2010,1,1.0,0.0
10107,1,0,2010,1,2.0,0.0
10108,1,0,2010,1,1.0,0.0
10108,2,0,2010,1,1.0,4.0
10108,3,0,2010,1,1.0,3.0
10109,1,0,2010,1,1.0,4.0
10110,1,0,2010,1,1.0,4.0
10111,1,0,2010,1,1.0,4.0
10112,1,0,2010,1,1.0,4.0
10113,1,0,2010,1,1.0,0.0
10113,2,0,2010,1,1.0,4.0
10114,1,0,2010,1,1.0,4.0
10115,1,5,2010,1,1.0,4.0
10115,2,0,2010,1,1.0,0.0
10117,1,0,2010,1,1.0,4.0
10118,1,0,2010,1,1.0,4.0
10118,2,0,2010,1,1.0,0.0
10119,1,0,2010,1,1.0,4.0
10120,1,0,2010,1,1.0,0.0
10120,1,0,2010,1,2.0,0.0
10121,1,0,2010,1,1.0,3.0
10121,1,0,2010,1,2.0,3.0
10121,1,0,2010,1,2.0,4.0
10121,2,0,2010,1,1.0,3.0
10121,2,0,2010,1,2.0,3.0
10121,2,0,2010,1,2.0,3.0
10121,2,0,2010,1,2.0,0.0
10122,1,0,2010,1,1.0,4.0
10122,2,0,2010,1,1.0,3.0
10122,3,0,2010,1,1.0,2.0
10123,1,0,2010,1,1.0,0.0
10124,1,0,2010,1,1.0,0.0
10124,1,0,2010,1,2.0,4.0
10125,1,0,2010,2,1.0,4.0
10125,1,0,2010,2,2.0,4.0
10125,1,0,2010,2,2.0,3.0
10126,1,0,2010,1,1.0,3.0
10126,2,0,2010,1,1.0,4.0
10126,3,0,2010,1,1.0,3.0
10126,4,0,2010,1,1.0,0.0
10126,5,0,2010,1,1.0,0.0
10127,1,0,2010,1,1.0,2.0
10128,1,0,2010,1,1.0,4.0
10129,1,0,2010,1,1.0,4.0
10129,1,0,2010,1,2.0,2.0
10129,1,0,2010,1,2.0,3.0
10130,1,0,2010,1,1.0,0.0
10130,2,0,2010,1,1.0,4.0
10131,1,0,2010,1,1.0,3.0
10131,1,0,2010,1,2.0,4.0
10132,1,0,2010,1,1.0,1.0
10132,2,0,2010,1,1.0,4.0
10133,1,0,2010,1,1.0,4.0
10134,1,0,2010,1,1.0,4.0
10135,1,0,2010,1,1.0,3.0
10135,2,0,2010,1,1.0,3.0
10135,2,0,2010,1,2.0,4.0
10136,1,0,2010,1,1.0,4.0
10136,2,0,2010,1,1.0,3.0
10136,2,0,2010,1,2.0,3.0
10136,2,0,2010,1,2.0,3.0
10136,2,0,2010,1,2.0,3.0
10137,1,0,2010,1,1.0,3.0
10137,1,0,2010,1,2.0,4.0
10138,1,0,2010,1,1.0,2.0
10138,1,0,2010,1,2.0,2.0
10138,2,0,2010,1,1.0,4.0
10138,2,0,2010,1,2.0,1.0
10138,2,0,2010,1,2.0,0.0
10139,1,0,2010,1,1.0,0.0
10139,1,0,2010,1,2.0,0.0
10139,1,0,2010,1,2.0,4.0
10140,1,0,2010,1,1.0,3.0
10140,2,0,2010,1,1.0,4.0
10141,1,0,2010,2,1.0,3.0
10141,2,16,2010,2,,
10142,1,0,2010,1,1.0,4.0
10143,1,0,2010,1,1.0,4.0
10144,1,0,2010,2,1.0,4.0
10144,1,0,2010,2,2.0,4.0
10145,1,0,2010,1,1.0,4.0
10146,1,0,2010,2,1.0,4.0
10146,1,0,2010,2,2.0,4.0
10147,1,0,2010,1,1.0,4.0
10148,1,0,2010,1,1.0,3.0
10148,1,0,2010,1,2.0,4.0
10149,1,5,2010,1,1.0,4.0
10150,1,0,2010,1,1.0,4.0
10151,1,0,2010,1,1.0,0.0
10151,2,0,2010,1,1.0,4.0
10151,3,0,2010,1,1.0,0.0
10151,3,0,2010,1,2.0,0.0
10152,1,0,2010,1,1.0,4.0
10152,1,0,2010,1,2.0,3.0
10152,2,0,2010,1,1.0,2.0
10153,1,0,2010,1,1.0,0.0
10153,2,0,2010,1,1.0,0.0
10153,2,0,2010,1,2.0,4.0
10153,2,0,2010,1,2.0,0.0
10153,2,0,2010,1,2.0,0.0
10154,1,0,2010,1,1.0,3.0
10154,1,0,2010,1,2.0,4.0
10154,2,0,2010,1,1.0,3.0
10154,2,0,2010,1,2.0,3.0
10154,2,0,2010,1,2.0,2.0
10154,2,0,2010,1,2.0,2.0
10154,2,0,2010,1,2.0,0.0
10154,3,0,2010,1,1.0,3.0
10155,1,0,2010,1,1.0,4.0
10155,1,0,2010,1,2.0,2.0
10155,2,0,2010,1,1.0,2.0
10156,1,0,2010,1,1.0,4.0
10156,2,0,2010,1,1.0,0.0
10157,1,0,2010,1,1.0,3.0
10158,1,0,2010,1,1.0,0.0
10158,2,0,2010,1,1.0,4.0
10159,1,0,2010,1,1.0,4.0
10159,1,0,2010,1,2.0,0.0
10160,1,0,2010,1,1.0,4.0
10160,1,0,2010,1,2.0,3.0
10161,1,0,2010,1,1.0,4.0
10161,2,0,2010,1,1.0,0.0
10162,1,0,2010,1,1.0,4.0
10163,1,0,2010,1,1.0,0.0
10163,2,0,2010,1,1.0,4.0
10164,1,0,2010,1,1.0,4.0
10165,1,0,2010,1,1.0,4.0
10165,2,0,2010,1,1.0,0.0
10166,1,0,2010,4,1.0,4.0
10166,1,0,2010,4,2.0,4.0
10166,2,0,2010,4,1.0,4.0
10166,2,0,2010,4,2.0,4.0
10167,1,0,2010,1,1.0,4.0
10167,2,0,2010,1,1.0,0.0
10168,1,0,2010,1,1.0,4.0
10169,1,0,2010,1,1.0,4.0
10169,1,0,2010,1,2.0,2.0
10170,1,0,2010,1,1.0,4.0
10171,1,0,2010,1,1.0,4.0
10171,2,0,2010,1,1.0,2.0
10172,1,0,2010,1,1.0,4.0
10173,1,0,2010,1,1.0,4.0
10174,1,0,2010,1,1.0,4.0
10175,1,0,2010,2,1.0,4.0
10175,1,0,2010,2,2.0,4.0
10176,1,0,2010,1,1.0,4.0
10177,1,0,2010,1,1.0,4.0
10177,1,0,2010,1,2.0,3.0
10177,2,0,2010,1,1.0,2.0
10178,1,0,2010,1,1.0,3.0
10178,1,0,2010,1,2.0,4.0
10178,1,0,2010,1,2.0,2.0
10179,1,0,2010,1,1.0,4.0
10180,1,0,2010,3,1.0,3.0
10180,1,0,2010,3,2.0,4.0
10180,1,0,2010,3,2.0,4.0
10180,1,0,2010,3,2.0,4.0
10181,1,0,2010,2,1.0,3.0
10181,1,0,2010,2,2.0,4.0
10181,1,0,2010,2,2.0,3.0
10181,2,0,2010,2,1.0,4.0
10181,3,0,2010,2,1.0,0.0
10182,1,0,2010,1,1.0,4.0
10182,2,0,2010,1,1.0,0.0
10183,1,0,2010,2,1.0,4.0
10183,2,0,2010,2,1.0,4.0
10184,1,0,2010,1,1.0,4.0
10185,1,0,2010,1,1.0,4.0
10185,2,0,2010,1,1.0,0.0
10186,1,0,2010,1,1.0,4.0
10186,1,0,2010,1,2.0,2.0
10187,1,92,2010,1,1.0,2.0
10187,2,0,2010,1,1.0,0.0
10188,1,0,2010,1,1.0,2.0
10188,1,0,2010,1,2.0,2.0
10188,1,0,2010,1,2.0,4.0
10188,1,0,2010,1,2.0,3.0
10188,1,0,2010,1,2.0,3.0
10188,1,0,2010,1,2.0,3.0
10188,1,0,2010,1,2.0,3.0
10188,1,0,2010,1,2.0,3.0
10189,1,0,2010,1,1.0,4.0
10190,1,0,2010,1,1.0,4.0
10191,1,0,2010,1,1.0,4.0
10192,1,0,2010,1,1.0,0.0
10192,2,0,2010,1,1.0,0.0
10193,1,0,2010,2,1.0,4.0
10193,1,0,2010,2,2.0,4.0
10194,1,0,2010,1,1.0,0.0
10195,1,0,2010,1,1.0,3.0
10195,1,0,2010,1,2.0,4.0
10195,1,0,2010,1,2.0,3.0
10195,2,0,2010,1,1.0,2.0
10196,1,0,2010,1,1.0,4.0
10197,1,0,2010,1,1.0,4.0
10197,2,0,2010,1,1.0,0.0
10197,2,0,2010,1,2.0,0.0
10198,1,0,2010,1,1.0,4.0
10199,1,0,2010,1,1.0,2.0
10199,1,0,2010,1,2.0,3.0
10199,2,0,2010,1,1.0,4.0
10200,1,0,2010,1,1.0,0.0
10200,1,0,2010,1,2.0,4.0
10201,1,0,2010,2,1.0,4.0
10201,1,0,2010,2,2.0,4.0
10201,2,0,2010,2,1.0,1.0
10201,2,0,2010,2,2.0,1.0
10201,2,0,2010,2,2.0,1.0
10202,1,0,2010,1,1.0,4.0
10202,1,0,2010,1,2.0,3.0
10203,1,0,2010,1,1.0,0.0
10203,2,0,2010,1,1.0,4.0
10204,1,0,2010,1,1.0,4.0
10205,1,0,2010,1,1.0,4.0
10206,1,0,2010,1,1.0,4.0
10206,2,0,2010,1,1.0,3.0
10206,2,0,2010,1,2.0,3.0
10207,1,0,2010,1,1.0,4.0
10208,1,0,2010,1,1.0,4.0
10208,2,0,2010,1,1.0,0.0
10209,1,0,2010,1,1.0,4.0
10210,1,0,2010,1,1.0,4.0
10210,2,0,2010,1,1.0,3.0
10210,2,0,2010,1,2.0,3.0
10210,2,0,2010,1,2.0,3.0
10210,2,0,2010,1,2.0,2.0
10210,2,0,2010,1,2.0,0.0
10210,2,0,2010,1,2.0,2.0
10211,1,0,2010,2,1.0,4.0
10211,1,0,2010,2,2.0,4.0
10211,2,0,2010,2,1.0,0.0
10211,3,0,2010,2,1.0,0.0
10212,1,0,2010,1,1.0,4.0
10213,1,0,2010,1,1.0,3.0
10213,1,0,2010,1,2.0,0.0
10213,1,0,2010,1,2.0,4.0
10213,2,0,2010,1,1.0,0.0
10214,1,0,2010,1,1.0,4.0
10215,1,0,2010,1,1.0,4.0
10215,2,16,2010,1,,
10216,1,0,2010,1,1.0,3.0
10216,1,0,2010,1,2.0,4.0
10216,2,0,2010,1,1.0,0.0
10217,1,0,2010,1,1.0,4.0
10218,1,0,2010,1,1.0,1.0
10218,1,0,2010,1,2.0,1.0
10218,2,0,2010,1,1.0,4.0
10218,2,0,2010,1,2.0,3.0
10218,2,0,2010,1,2.0,3.0
10219,1,0,2010,1,1.0,4.0
10219,2,0,2010,1,1.0,3.0
10220,1,0,2010,1,1.0,0.0
10220,1,0,2010,1,2.0,4.0
10220,1,0,2010,1,2.0,0.0
10220,1,0,2010,1,2.0,0.0
10221,1,0,2010,1,1.0,3.0
10221,1,0,2010,1,2.0,4.0
10222,1,0,2010,1,1.0,4.0
10222,2,0,2010,1,1.0,0.0
10222,2,0,2010,1,2.0,3.0
10223,1,0,2010,1,1.0,0.0
10224,1,0,2010,1,1.0,4.0
10224,2,0,2010,1,1.0,0.0
10225,1,0,2010,1,1.0,0.0
10225,2,0,2010,1,1.0,4.0
10226,1,0,2010,1,1.0,4.0
10226,2,0,2010,1,1.0,0.0
10226,3,0,2010,1,1.0,1.0
10226,4,0,2010,1,1.0,1.0
10226,5,0,2010,1,1.0,0.0
10226,5,0,2010,1,2.0,0.0
10227,1,0,2010,1,1.0,4.0
10227,2,0,2010,1,1.0,2.0
10228,1,0,2010,1,1.0,4.0
10229,1,0,2010,1,1.0,3.0
10229,1,0,2010,1,2.0,4.0
10230,1,0,2010,1,1.0,4.0
10230,1,0,2010,1,2.0,3.0
10230,1,0,2010,1,2.0,2.0
10230,1,0,2010,1,2.0,3.0
10231,1,0,2010,1,1.0,4.0
10232,1,0,2010,1,1.0,4.0
10233,1,0,2010,1,1.0,2.0
10233,1,0,2010,1,2.0,0.0
10233,1,0,2010,1,2.0,3.0
10233,1,0,2010,1,2.0,4.0
10234,1,0,2010,1,1.0,4.0
10234,2,0,2010,1,1.0,0.0
10235,1,0,2010,1,1.0,4.0
10235,1,0,2010,1,2.0,2.0
10235,1,0,2010,1,2.0,2.0
10237,1,0,2010,1,1.0,4.0
10237,2,0,2010,1,1.0,2.0
10237,2,0,2010,1,2.0,2.0
10237,2,0,2010,1,2.0,2.0
10238,1,0,2010,1,1.0,3.0
10238,1,0,2010,1,2.0,4.0
10238,1,0,2010,1,2.0,3.0
10238,2,0,2010,1,1.0,2.0
10238,2,0,2010,1,2.0,0.0
10238,2,0,2010,1,2.0,0.0
10238,2,0,2010,1,2.0,2.0
10239,1,0,2010,1,1.0,4.0
10240,1,0,2010,1,1.0,0.0
10240,2,0,2010,1,1.0,4.0
10241,1,0,2010,1,1.0,0.0
10241,1,0,2010,1,2.0,0.0
10241,2,0,2010,1,1.0,4.0
10241,3,0,2010,1,1.0,0.0
10242,1,0,2010,1,1.0,4.0
10242,1,0,2010,1,2.0,1.0
10242,2,0,2010,1,1.0,0.0
10243,1,0,2010,1,1.0,4.0
10243,2,0,2010,1,1.0,2.0
10244,1,0,2010,1,1.0,4.0
10245,1,0,2010,1,1.0,4.0
10245,2,0,2010,1,1.0,0.0
10246,1,0,2010,1,1.0,1.0
10246,1,0,2010,1,2.0,0.0
10246,2,0,2010,1,1.0,4.0
10247,1,0,2010,1,1.0,4.0
10248,1,0,2010,1,1.0,4.0
10248,2,0,2010,1,1.0,0.0
10249,1,0,2010,1,1.0,4.0
10249,2,0,2010,1,1.0,3.0
10249,2,0,2010,1,2.0,3.0
10250,1,0,2010,1,1.0,4.0
10251,1,0,2010,1,1.0,4.0
