STATE,ST_CASE,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERNOTMVIT,PERMVIT,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,NHS,ROAD_FNC,ROUTE,TWAY_ID,TWAY_ID2,MILEPT,LATITUDE,LONGITUD,SP_JUR,HARM_EV,MAN_COLL,RELJCT1,RELJCT2,TYP_INT,WRK_ZONE,REL_ROAD,LGT_COND,WEATHER1,WEATHER2,WEATHER,SCH_BUS,RAIL,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,CF1,CF2,CF3,FATALS,DRUNK_DR
48,480216,1,1,0,0,0,1,1,473,0,25,1,2014,7,23,28,1,1,7,I-10,,31,29.78074444,-95.98997222,0,33,0,0,1,1,0,4,2,1,0,1,0,0000000,23,36,0,3,0,32,0,0,0,1,0
48,480217,2,2,0,0,0,3,3,55,0,26,1,2014,1,20,27,1,2,2,US-183,,59,29.95665,-97.67625,0,12,1,0,1,1,0,1,2,10,0,10,0,0000000,99,99,99,99,99,99,0,0,0,1,1
48,480218,1,1,0,0,0,1,1,183,0,26,1,2014,1,7,52,0,2,3,SR-31,,86,32.46601111,-94.78433889,0,59,0,0,1,1,0,4,9,10,0,10,0,0000000,99,98,99,98,88,88,0,0,0,1,1
48,480219,2,2,0,0,0,3,3,453,0,26,1,2014,1,15,47,0,2,3,SR-71,FALL CREEK RD,1,30.42101944,-98.12623056,0,12,1,0,3,3,0,1,1,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0
48,480220,4,4,0,0,0,6,6,29,6090,27,1,2014,2,19,33,1,12,8,SL 1604,,21,29.578575,-98.64362222,0,12,6,0,1,1,0,1,2,1,0,1,0,0000000,19,34,19,49,20,30,0,0,0,1,1
48,480221,2,2,0,0,0,2,2,113,1730,27,1,2014,2,3,40,1,12,2,US-75,,141,32.80003611,-96.79298056,0,12,2,0,1,1,0,1,3,1,0,1,0,0000000,3,57,4,1,4,24,0,0,0,1,1
48,480222,1,1,0,0,0,1,1,113,2590,27,1,2014,2,2,2,1,11,1,I-30,GEORGE BUSH HWY,299,32.85657778,-96.55414444,0,25,0,1,3,3,0,4,2,1,0,1,0,0000000,2,1,2,5,2,35,0,0,0,1,1
48,480223,2,1,1,0,1,4,5,283,0,27,1,2014,2,5,22,0,4,3,SR-44,,17,28.04651667,-99.37808056,0,14,0,0,1,1,0,4,2,1,0,1,0,0000000,5,47,6,33,8,13,0,0,0,3,0
48,480224,2,2,0,0,0,2,2,291,0,27,1,2014,2,7,0,0,3,8,FM 1960,FM 686,0,30.04577222,-94.99284722,0,12,6,0,2,2,0,1,1,1,0,1,0,0000000,99,98,99,98,88,88,0,0,0,1,0
48,480225,2,2,0,0,0,2,2,307,0,27,1,2014,2,13,29,0,3,2,US-377,,15,31.44628889,-99.16655278,0,12,6,0,1,1,0,2,1,1,0,1,0,0000000,15,30,15,56,17,0,0,0,0,1,0
