STATE,ST_CASE,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERNOTMVIT,PERMVIT,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,NHS,ROAD_FNC,ROUTE,TWAY_ID,TWAY_ID2,MILEPT,LATITUDE,LONGITUD,SP_JUR,HARM_EV,MAN_COLL,RELJCT1,RELJCT2,TYP_INT,REL_ROAD,WRK_ZONE,LGT_COND,WEATHER1,WEATHER2,WEATHER,SCH_BUS,RAIL,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,CF1,CF2,CF3,FATALS,DRUNK_DR
12,121295,2,2,0,0,0,2,2,57,2950,12,7,2011,3,14,52,0,13,2,US-41,19TH STREET,99998,27.99609167,-82.438858330,0,12,6,0,2,2,1,0,1,10,0,10,0,0000000,99,99,99,99,99,99,0,0,0,1,0
12,121296,2,2,0,0,0,3,3,11,2541,7,8,2011,1,16,0,1,12,3,SR-91,,99998,26.10600556,-80.218694440,0,12,1,0,1,1,1,0,1,10,0,10,0,0000000,99,99,99,99,99,99,0,0,0,1,1
12,121297,1,1,0,0,0,2,2,23,0,15,8,2011,2,1,55,1,1,1,I-75,,99998,30.09269444,-82.641175000,0,42,0,0,1,1,4,0,2,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0
12,121298,2,2,0,0,0,3,3,86,1566,18,8,2011,5,5,10,1,2,3,SR-997,,99998,25.68828889,-80.478319440,0,12,2,0,1,1,1,0,2,10,0,10,0,0000000,99,99,99,99,99,99,0,0,0,1,0
12,121299,1,1,0,0,0,1,1,35,0,18,8,2011,5,23,20,0,2,3,SR-20,,99998,29.46875000,-81.314619440,0,34,0,0,1,1,4,0,2,1,0,1,0,0000000,99,99,99,99,88,88,0,0,0,1,1
12,121300,2,2,0,0,0,2,2,81,0,18,8,2011,5,12,20,1,2,3,SR-70,,99998,27.43020278,-82.381786110,0,12,6,0,1,1,1,0,1,10,0,10,0,0000000,99,99,99,99,88,88,0,0,0,1,0
12,121301,2,2,0,0,0,8,8,95,0,19,8,2011,6,8,44,0,6,4,RIO GRANDE AVENUE,GRAND STREET,0,28.52627500,-81.401197220,0,12,6,0,2,2,1,0,1,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,2,1
12,121302,1,1,0,0,0,2,2,115,2235,20,8,2011,7,20,53,1,1,1,I-75,,99998,27.09907222,-82.165822220,0,5,0,0,1,1,1,0,2,10,0,10,0,0000000,99,99,99,99,99,99,0,0,0,1,0
12,121303,1,1,0,0,0,4,4,33,0,21,8,2011,1,15,55,1,11,1,I-10,,99998,30.56066667,-87.372333330,0,43,0,0,1,1,4,0,1,2,0,2,0,0000000,99,99,99,99,99,99,0,0,0,1,0
12,121304,1,1,0,1,1,1,1,117,0,21,8,2011,1,0,30,1,11,3,SR-400,,99998,28.83083056,-81.321086110,0,9,0,0,1,1,1,0,2,1,0,1,0,0000000,99,99,99,99,88,88,0,0,0,1,0
12,121305,1,1,0,1,1,2,2,127,0,21,8,2011,1,21,12,0,13,3,SR-A1A,,99998,29.35450000,-81.068952780,0,8,0,0,1,1,1,0,2,1,0,1,0,0000000,99,99,99,99,88,88,0,0,0,1,0
12,121306,2,2,0,0,0,2,2,57,0,22,8,2011,2,0,0,0,6,4,TEMPLE TERRACE HW,,0,28.03272500,-82.376302780,0,12,6,0,8,1,1,0,2,10,0,10,0,0000000,99,99,99,99,88,88,0,0,0,1,0
12,121307,1,1,0,1,1,1,1,105,2140,22,8,2011,2,12,0,0,14,3,SR-37,MULFORD ROAD,99998,27.91134444,-81.973941670,0,9,0,0,2,3,1,0,1,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0
12,121308,2,2,0,0,0,3,3,57,0,26,7,2011,3,22,59,0,6,4,CR-39,,0,27.82843056,-82.145666670,0,12,1,0,1,1,1,0,2,1,0,1,0,0000000,99,99,99,99,88,88,0,0,0,1,2
12,121309,2,2,0,0,0,4,4,86,0,19,8,2011,6,4,49,1,11,1,I-75,,99998,25.92124722,-80.350477780,0,12,2,0,1,1,1,0,2,10,0,10,0,0000000,99,99,99,99,99,99,0,0,0,2,0
12,121310,1,1,0,0,0,1,1,73,0,19,8,2011,6,2,58,0,6,4,CR-1541,,0,30.50188056,-84.079469440,0,34,0,0,1,1,4,0,2,1,0,1,0,0000000,99,99,99,99,88,88,20,0,0,1,1
12,121311,1,1,0,0,0,4,4,71,0,20,8,2011,7,7,54,1,11,1,I-75,,99998,26.43792222,-81.780150000,0,1,0,0,1,1,1,0,1,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0
12,121312,2,2,0,0,0,4,4,71,0,23,8,2011,3,20,18,0,3,3,SR-31,,99998,26.73918889,-81.760969440,0,12,2,0,1,1,1,0,2,2,0,2,0,0000000,99,99,99,99,99,99,0,0,0,1,0
12,121313,2,2,0,0,0,3,3,103,2530,3,7,2011,1,12,54,1,13,3,SR-694,34TH STREET,99998,27.83971111,-82.683991670,0,12,6,0,2,2,1,0,1,10,0,10,0,0000000,99,99,99,99,99,99,0,0,0,1,0
12,121314,2,2,0,0,0,2,2,99,0,16,7,2011,7,11,57,0,13,3,SR-809,,99998,26.68970833,-80.111786110,0,12,6,0,1,1,1,0,1,1,0,1,0,0000000,99,99,99,99,88,88,0,0,0,1,0
12,121315,1,1,0,0,0,1,1,99,0,23,7,2011,7,23,22,0,14,4,6TH AVENUE,,99998,26.60931111,-80.081169440,0,38,0,0,1,1,4,0,2,1,0,1,0,0000000,99,99,99,99,88,88,0,0,0,1,1
